date,ticker,pos,neg,neu,compound,ticker,close,volume
2015-12-01,MRO,0.074,0.04,0.887,0.9996,MRO,17.63,8862949.0
2015-12-02,MRO,0.074,0.04,0.887,0.9996,MRO,16.67,11031759.0
2015-12-03,MRO,0.074,0.04,0.887,0.9996,MRO,16.55,14461750.0
2015-12-04,MRO,0.074,0.04,0.887,0.9996,MRO,16.12,10743011.0
2015-12-07,MRO,0.074,0.04,0.887,0.9996,MRO,14.78,15193570.0
2015-12-08,MRO,0.074,0.04,0.887,0.9996,MRO,14.92,18275122.0
2015-12-09,MRO,0.074,0.04,0.887,0.9996,MRO,14.5,15728651.0
2015-12-10,MRO,0.074,0.04,0.887,0.9996,MRO,14.74,10257654.0
2015-12-11,MRO,0.074,0.04,0.887,0.9996,MRO,14.34,11234469.0
2015-12-14,MRO,0.074,0.04,0.887,0.9996,MRO,13.96,14612613.0
2015-12-15,MRO,0.074,0.04,0.887,0.9996,MRO,14.46,12972855.0
2015-12-16,MRO,0.074,0.04,0.887,0.9996,MRO,13.78,15943233.0
2015-12-17,MRO,0.074,0.04,0.887,0.9996,MRO,12.78,18589186.0
2015-12-18,MRO,0.074,0.04,0.887,0.9996,MRO,12.47,27418602.0
2015-12-21,MRO,0.074,0.04,0.887,0.9996,MRO,12.52,13683740.0
2015-12-22,MRO,0.074,0.04,0.887,0.9996,MRO,12.69,9510235.0
2015-12-23,MRO,0.074,0.04,0.887,0.9996,MRO,13.96,14590137.0
2015-12-24,MRO,0.074,0.04,0.887,0.9996,MRO,13.93,5709480.0
2015-12-28,MRO,0.074,0.04,0.887,0.9996,MRO,12.98,9519539.0
2015-12-29,MRO,0.074,0.04,0.887,0.9996,MRO,13.03,8141903.0
2015-12-30,MRO,0.074,0.04,0.887,0.9996,MRO,12.38,9897906.0
2015-12-31,MRO,0.124,0.078,0.799,1.0,MRO,12.59,10140975.0
2016-01-04,MRO,0.124,0.078,0.799,1.0,MRO,12.82,12667626.0
2016-01-05,MRO,0.124,0.078,0.799,1.0,MRO,12.76,9777053.0
2016-01-06,MRO,0.124,0.078,0.799,1.0,MRO,11.28,15837587.0
2016-01-07,MRO,0.124,0.078,0.799,1.0,MRO,10.67,20172902.0
2016-01-08,MRO,0.124,0.078,0.799,1.0,MRO,10.35,34056366.0
2016-01-11,MRO,0.124,0.078,0.799,1.0,MRO,9.62,22278619.0
2016-01-12,MRO,0.124,0.078,0.799,1.0,MRO,9.19,25506021.0
2016-01-13,MRO,0.124,0.078,0.799,1.0,MRO,8.54,26857652.0
2016-01-14,MRO,0.124,0.078,0.799,1.0,MRO,9.07,33825791.0
2016-01-15,MRO,0.124,0.078,0.799,1.0,MRO,8.14,39565456.0
2016-01-19,MRO,0.124,0.078,0.799,1.0,MRO,7.68,29537160.0
2016-01-20,MRO,0.124,0.078,0.799,1.0,MRO,7.86,45467994.0
2016-01-21,MRO,0.124,0.078,0.799,1.0,MRO,8.79,37174950.0
2016-01-22,MRO,0.124,0.078,0.799,1.0,MRO,9.02,38960090.0
2016-01-25,MRO,0.124,0.078,0.799,1.0,MRO,8.14,19509580.0
2016-01-26,MRO,0.124,0.078,0.799,1.0,MRO,8.45,16346029.0
2016-01-27,MRO,0.124,0.078,0.799,1.0,MRO,8.75,27289222.0
2016-01-28,MRO,0.124,0.078,0.799,1.0,MRO,9.17,20994555.0
2016-01-29,MRO,0.124,0.078,0.799,1.0,MRO,9.73,20678011.0
2016-02-01,MRO,0.124,0.078,0.799,1.0,MRO,9.74,17728334.0
2016-02-02,MRO,0.124,0.078,0.799,1.0,MRO,8.74,19460933.0
2016-02-03,MRO,0.124,0.078,0.799,1.0,MRO,9.42,23844281.0
2016-02-04,MRO,0.124,0.078,0.799,1.0,MRO,9.19,33500297.0
2016-02-05,MRO,0.124,0.078,0.799,1.0,MRO,8.46,29574042.0
2016-02-08,MRO,0.124,0.078,0.799,1.0,MRO,7.82,45568059.0
2016-02-09,MRO,0.124,0.078,0.799,1.0,MRO,7.29,24990409.0
