datetime,articles_compound_sentiment,articles_positive_sentiment,articles_neutral_sentiment,articles_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment
2012-09-19,,,,,0.5423166666666667,0.1368888888888889,0.8208333333333333,0.042333333333333334
2012-09-20,,,,,0.37230434782608696,0.10360869565217391,0.853086956521739,0.043347826086956524
2012-09-21,,,,,0.18216666666666667,0.12286666666666667,0.8228666666666666,0.05433333333333333
2012-09-22,,,,,-0.04585,0.1175,0.7635,0.119
2012-09-23,,,,,-0.6369,0.086,0.743,0.172
2012-09-24,,,,,0.3329083333333333,0.08983333333333333,0.8871666666666668,0.023000000000000003
2012-09-25,,,,,0.4342,0.20299999999999999,0.769,0.028
2012-09-26,,,,,,,,
2012-09-27,,,,,,,,
2012-09-28,,,,,,,,
2012-09-29,,,,,,,,
2012-09-30,,,,,,,,
2012-10-01,,,,,,,,
2012-10-02,,,,,,,,
2012-10-03,,,,,,,,
2012-10-04,,,,,,,,
2012-10-05,,,,,,,,
2012-10-06,,,,,,,,
2012-10-07,,,,,,,,
2012-10-08,,,,,,,,
2012-10-09,,,,,,,,
2012-10-10,,,,,,,,
2012-10-11,,,,,,,,
2012-10-12,,,,,,,,
2012-10-13,,,,,,,,
2012-10-14,,,,,,,,
2012-10-15,,,,,,,,
2012-10-16,,,,,,,,
2012-10-17,,,,,,,,
2012-10-18,,,,,,,,
2012-10-19,,,,,,,,
2012-10-20,,,,,,,,
2012-10-21,,,,,-0.7707,0.0,0.859,0.141
2012-10-22,,,,,0.3641875,0.149375,0.768375,0.082375
2012-10-23,,,,,0.08985384615384615,0.08430769230769232,0.8311538461538461,0.08453846153846153
2012-10-24,,,,,0.06001818181818182,0.08645454545454546,0.8414545454545455,0.07200000000000001
2012-10-25,,,,,0.604575,0.12625,0.83575,0.03775
2012-10-26,,,,,-0.06387272727272726,0.07727272727272727,0.8492727272727273,0.07345454545454545
2012-10-27,,,,,0.34932,0.1518,0.8019999999999999,0.046200000000000005
2012-10-28,,,,,0.2862,0.0846,0.8906000000000001,0.0248
2012-10-29,,,,,0.09537647058823528,0.11105882352941177,0.8002941176470588,0.08864705882352941
2012-10-30,,,,,0.22877499999999998,0.10325000000000001,0.83275,0.06425
2012-10-31,,,,,0.09682857142857144,0.07371428571428572,0.863857142857143,0.062285714285714285
2012-11-01,,,,,0.13954166666666665,0.10891666666666666,0.8224166666666667,0.06874999999999999
2012-11-02,,,,,0.43235,0.2125,0.7875,0.0
2012-11-03,,,,,,,,
2012-11-04,,,,,,,,
2012-11-05,,,,,,,,
2012-11-06,,,,,,,,
2012-11-07,,,,,,,,
2012-11-08,,,,,,,,
2012-11-09,,,,,,,,
2012-11-10,,,,,,,,
2012-11-11,,,,,,,,
2012-11-12,,,,,,,,
2012-11-13,,,,,,,,
2012-11-14,,,,,,,,
2012-11-15,,,,,,,,
2012-11-16,,,,,,,,
2012-11-17,,,,,,,,
2012-11-18,,,,,,,,
2012-11-19,,,,,,,,
2012-11-20,,,,,,,,
2012-11-21,,,,,,,,
2012-11-22,,,,,,,,
2012-11-23,,,,,,,,
2012-11-24,,,,,,,,
2012-11-25,,,,,,,,
2012-11-26,,,,,,,,
2012-11-27,,,,,,,,
2012-11-28,,,,,,,,
2012-11-29,,,,,,,,
2012-11-30,,,,,,,,
2012-12-01,,,,,,,,
2012-12-02,,,,,,,,
2012-12-03,,,,,0.65345,0.13544444444444445,0.8142777777777778,0.05027777777777778
2012-12-04,,,,,0.29121874999999997,0.0993125,0.8473125,0.0533125
2012-12-05,,,,,0.4350636363636364,0.17163636363636364,0.747909090909091,0.08045454545454546
2012-12-06,,,,,0.21371,0.0984,0.8428000000000001,0.0588
2012-12-07,,,,,0.15491666666666667,0.09183333333333334,0.8868333333333333,0.021333333333333333
2012-12-08,,,,,0.005850000000000022,0.185,0.7295,0.0855
2012-12-09,,,,,0.30417894736842105,0.10342105263157896,0.8636315789473684,0.033
