,periodOfReport,ticker,pos,neg,neu,compound
465,2019-06-30,UBER,0.115,0.026,0.86,1.0
466,2019-09-30,UBER,0.111,0.021,0.868,1.0
467,2019-12-31,UBER,0.124,0.078,0.798,1.0
468,2020-03-31,UBER,0.121,0.029,0.85,1.0
469,2020-06-30,UBER,0.099,0.042,0.859,1.0
470,2020-09-30,UBER,0.107,0.039,0.854,1.0
471,2020-12-31,UBER,0.106,0.061,0.833,1.0
472,2021-03-31,UBER,0.109,0.039,0.852,1.0
473,2021-06-30,UBER,0.109,0.038,0.853,1.0
474,2021-09-30,UBER,0.12,0.033,0.847,1.0
475,2021-12-31,UBER,0.106,0.062,0.832,1.0
476,2022-03-31,UBER,0.126,0.04,0.833,1.0
